"funcao","kind","language","return_type","complexidade"
"gp.api_projetosexcluir(a_objeto gp.tprojetosexcluir)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosexcluir_v2(a_objeto gp.tprojetosexcluir_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosexcluir_v3(a_objeto gp.tprojetosexcluir_v3)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosiniciar(a_objeto gp.tprojetosiniciar)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosiniciar_v2(a_objeto gp.tprojetosiniciar_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosparar(a_objeto gp.tprojetosparar)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosparar_v2(a_objeto gp.tprojetosparar_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_roteirosexcluir(a_objeto gp.troteirosexcluir)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_roteirosexcluir_v2(a_objeto gp.troteirosexcluir_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_tarefasexecutar(a_objeto gp.ttarefasexecutar, a_validarexecucaosimultanea boolean DEFAULT true)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_tarefasexecutar_v2(a_objeto gp.ttarefasexecutar_v2, a_validarexecucaosimultanea boolean DEFAULT true)","FUNCTION","plpgsql","trecibo","Media"
"gp.colpivot(out_table character varying, in_query character varying, key_cols character varying[], class_cols character varying[], value_cols character varying[], col_order character varying)","FUNCTION","plpgsql","void","Media"
"gp.colpivot_v2(out_table character varying, in_query character varying, key_cols character varying[], class_cols character varying[], value_cols character varying[], col_order character varying)","FUNCTION","plpgsql","void","Media"
"gp.get_recursosalocadosprojeto_str(a_projetoalocacao uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.get_recursosalocadosprojeto_str_v2(a_projetoalocacao uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.get_recursosalocadosprojetoescopo_str(a_projetoescopo uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.get_recursosalocadosprojetoescopo_str_v2(a_projetoescopo uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.getdependenciasprojetosescopo(a_projetoescopo uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.getdependenciasprojetosescopo_v2(a_projetoescopo uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.getdependenciasroteiroescopo(a_roteiroescopo uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.getutilizacoessequenciastr(a_sequencia uuid)","FUNCTION","plpgsql","varchar","Media"
"gp.tarefasdiffstr(a_old json, a_new json)","FUNCTION","plpgsql","text","Media"
"gp.validaformulasvisao(a_visao uuid)","FUNCTION","plpgsql","trecibo","Media"
"gp.validaformulasvisao_v2(a_visao uuid, a_tenant bigint)","FUNCTION","plpgsql","trecibo","Media"
"importacao.public_hash(a_entity text, a_columns_to_ignore character varying[] DEFAULT NULL::character varying[])","FUNCTION","plpgsql","void","Media"
"importacao.public_import(a_session_id character varying, a_session_user uuid, a_session_password character varying, a_session_estabelecimento uuid, a_session_ano integer)","FUNCTION","plpgsql","void","Media"
"importacao.public_register_template(a_table_name character varying)","FUNCTION","plpgsql","void","Media"
"importacao.public_start_session(a_session_id character varying, a_usuario uuid, a_password character varying, a_estabelecimento uuid, a_ano integer)","FUNCTION","plpgsql","void","Media"
"maladireta.busca_consolidado_campanhas(_tenant bigint, _estadoscampanha integer[], _limit integer DEFAULT 20, _nome character varying DEFAULT ''::character varying, _ultima_datacriacao timestamp without time zone DEFAULT '3016-01-01 00:00:00'::timestamp without time zone, _ultima_campanha uuid DEFAULT '11b09c11-baec-4db6-98c4-c68eca90aa52'::uuid)","FUNCTION","plpgsql","consolidado_campanha","Media"
"ns.api_conjunto_retornaguids(a_cadastro integer, a_entidadescompartilhadoras ns.tentidadecompartilhadora[])","FUNCTION","plpgsql","_uuid","Media"
"ns.api_conjunto_retornaguids_web(a_entidadescompartilhadoras ns.tentidadecompartilhadora[])","FUNCTION","plpgsql","_uuid","Media"
"ns.api_pessoa_retornavalorguid(a_pessoa text, a_cadastro integer, a_entidadescompartilhadoras ns.tentidadecompartilhadora[])","FUNCTION","plpgsql","uuid","Media"
"ns.api_registrar_mensagem_sincronizacao(a_api text, a_conteudo_json json, a_grupoempresarial uuid)","FUNCTION","plpgsql","void","Media"
"ns.api_socioparticipacaoretornavalorguid(a_socioparticipacao text, a_socio text, a_empresa text)","FUNCTION","plpgsql","_uuid","Media"
"ns.api_sonumero(a_texto text)","FUNCTION","plpgsql","text","Media"
"ns.api_unidade_retornavalorguid(a_unidade text, a_entidadescompartilhadoras ns.tentidadecompartilhadora[])","FUNCTION","plpgsql","uuid","Media"
"ns.ativar_trigger(nometrigger character varying)","FUNCTION","plpgsql","void","Media"
"ns.calcula_impostos_docengine(a_xml text, a_fatura uuid)","FUNCTION","plpgsql","record","Media"
"ns.colpivot(out_table character varying, in_query character varying, key_cols character varying[], class_cols character varying[], value_e character varying, col_order character varying)","FUNCTION","plpgsql","void","Media"
"ns.criacaousuarios()","FUNCTION","plpgsql","void","Media"
"ns.desativar_trigger(nometrigger character varying)","FUNCTION","plpgsql","void","Media"
"ns.desligar_rastro(a_json text)","FUNCTION","plpgsql","void","Media"
"ns.explode_xml_docengine_linhas_impostos(a_xml xml, a_df_linha uuid, a_id_item uuid)","FUNCTION","plpgsql","void","Media"
"ns.exportacaoweb()","FUNCTION","plpgsql","void","Media"
"ns.extraiimpostosxml(a_xml xml, a_path character varying DEFAULT '/Den/infoDen/fatura'::character varying, a_id_item uuid DEFAULT NULL::uuid, OUT a_imposto_icms_base numeric, OUT a_imposto_icms_valor numeric, OUT a_imposto_icms_reducao numeric, OUT a_imposto_icms_aliquota numeric, OUT a_imposto_ipi_base numeric, OUT a_imposto_ipi_valor numeric, OUT a_imposto_ipi_reducao numeric, OUT a_imposto_ipi_aliquota numeric, OUT a_imposto_iss_base numeric, OUT a_imposto_iss_valor numeric, OUT a_imposto_iss_aliquota numeric, OUT a_imposto_inss_retencao_base numeric, OUT a_imposto_inss_retencao_valor numeric, OUT a_imposto_retem_inss boolean, OUT a_imposto_iss_retencao_base numeric, OUT a_imposto_iss_retencao_valor numeric, OUT a_imposto_retem_iss boolean, OUT a_imposto_irrf_retencao_base numeric, OUT a_imposto_irrf_retencao_valor numeric, OUT a_imposto_retem_irrf boolean, OUT a_imposto_pis_retencao_base numeric, OUT a_imposto_pis_retencao_valor numeric, OUT a_imposto_retem_pis boolean, OUT a_imposto_cofins_retencao_base numeric, OUT a_imposto_cofins_retencao_valor numeric, OUT a_imposto_retem_cofins boolean, OUT a_imposto_csll_retencao_base numeric, OUT a_imposto_csll_retencao_valor numeric, OUT a_imposto_retem_csll boolean)","FUNCTION","plpgsql","record","Media"
"ns.gera_contrato_pedidovendaservico(a_xml xml, a_pedido uuid)","FUNCTION","plpgsql","void","Media"
"ns.getsemana(a_data date)","FUNCTION","plpgsql","int4","Media"
"ns.imp_calculavalor_iss(a_data date, a_base numeric, a_emitente uuid, a_destinatario uuid, a_cfop uuid, a_servico uuid DEFAULT NULL::uuid)","FUNCTION","plpgsql","record","Media"
"ns.imp_calculavalor_iss(a_data date, a_base numeric, a_emitente uuid, a_destinatario uuid, a_cfop uuid, a_pessoamunicipio uuid, a_retemiss boolean, a_servico uuid DEFAULT NULL::uuid)","FUNCTION","plpgsql","record","Media"
"ns.importacaocontroller_separa_endereco(a_endereco character varying, OUT a_tipologradouro character varying, OUT a_logradouro character varying, OUT a_numero character varying, OUT a_complemento character varying)","FUNCTION","plpgsql","record","Media"
"ns.ligar_rastro(a_json text)","FUNCTION","plpgsql","void","Media"
"ns.list_itens_docengine_docfis(a_nota uuid)","FUNCTION","plpgsql","tipo_linha_docengine","Media"
"ns.list_itens_docengine_importacao(a_nota uuid)","FUNCTION","plpgsql","tipo_linha_docengine","Media"
"ns.list_linhas_docengine(a_xml xml)","FUNCTION","plpgsql","tipo_linha_docengine","Media"
"ns.montadiscriminacao_rps(a_docfis_rps uuid)","FUNCTION","plpgsql","text","Media"
"ns.montadiscriminacao_rps_pvs(a_docfis_rps uuid, a_docfis_pvs uuid)","FUNCTION","plpgsql","text","Media"
"ns.pode_processar_xml_docfis(a_xml xml)","FUNCTION","plpgsql","void","Media"
"ns.preencher_docfis(a_xml xml)","FUNCTION","plpgsql","void","Media"
"ns.proximo_dia_util(data date)","FUNCTION","plpgsql","date","Media"
"ns.proximo_dia_util_mais_n(data date, nrodias integer DEFAULT 0)","FUNCTION","plpgsql","date","Media"
"ns.public_get_only_number(a_texto character varying)","FUNCTION","plpgsql","text","Media"
"ns.retorna_codigo_automatico_participante()","FUNCTION","plpgsql","int8","Media"
"ns.retorna_codigo_automatico_pessoa()","FUNCTION","plpgsql","int8","Media"
"ns.round_abnt(a_valor numeric, a_decimais integer DEFAULT 2)","FUNCTION","plpgsql","numeric","Media"
"ns.seleciona_faturas_docengine(a_xml xml, a_raiz character varying, a_fatura uuid)","FUNCTION","plpgsql","record","Media"
"ns.ultimo_dia_util(data date)","FUNCTION","plpgsql","date","Media"
"nsview.public_register_nsview(a_nsview character varying, a_sistema integer, a_modulo integer, a_script text, a_affected_by_elemento_de_controle_type integer DEFAULT NULL::integer)","FUNCTION","plpgsql","void","Media"
"pcp.api_custosexcluir(a_objeto pcp.tcustosexcluir)","FUNCTION","plpgsql","trecibo","Media"
"pcp.api_custosnovo(a_objeto pcp.tcustosnovo)","FUNCTION","plpgsql","trecibo","Media"
"pcp.api_custosvaloresalterar(a_objeto pcp.tcustosvaloresalterar)","FUNCTION","plpgsql","trecibo","Media"
