"view_name","kind","column_count","complexidade"
"gp.vw_visoesrelatorioprodutividadetiposhoras","VIEW",8,"Media"
"gp.vw_visoesrelatorioprodutividadetiposhoras_v2","VIEW",8,"Media"
"meurh.periodosaquisitivosferias","VIEW",7,"Media"
"ns.viewfk","VIEW",7,"Alta"
"ns.viewnotnull","VIEW",3,"Alta"
"ns.viewpk","VIEW",4,"Alta"
"ns.vw_clientes","VIEW",27,"Alta"
"ns.vw_clientes_v2","VIEW",30,"Media"
"ns.vw_clientes_v3","VIEW",31,"Media"
"ns.vw_clientes_v4","VIEW",48,"Media"
"ns.vw_clientesanexos","VIEW",13,"Alta"
"ns.vw_configuracoesnumeracoesdnf","VIEW",11,"Media"
"ns.vw_documentos","VIEW",8,"Alta"
"ns.vw_entidadesempresariais","VIEW",6,"Baixa"
"ns.vw_entidadesempresariais_v2","VIEW",5,"Baixa"
"ns.vw_estabelecimentos","VIEW",24,"Media"
"ns.vw_fornecedores","VIEW",24,"Media"
"ns.vw_fornecedores_v2","VIEW",25,"Media"
"ns.vw_fornecedores_v3","VIEW",29,"Media"
"ns.vw_fornecedores_v4","VIEW",28,"Media"
"ns.vw_fornecedoresanexos","VIEW",13,"Alta"
"ns.vw_locaisdeusomodelos","VIEW",11,"Media"
"ns.vw_prospects","VIEW",10,"Alta"
"ns.vw_series","VIEW",15,"Alta"
"ns.vw_vendedores","VIEW",10,"Media"
"ns.vwatendimentos","VIEW",37,"Media"
"ns.vwclassificadores","VIEW",7,"Media"
"ns.vwclientes","VIEW",43,"Media"
"ns.vwclientes_atendimento","VIEW",39,"Alta"
"ns.vwclientes_atendimento_v2","VIEW",40,"Media"
"ns.vwcontascompartilhadas","VIEW",43,"Media"
"ns.vwcontasfuncionarios","VIEW",44,"Media"
"ns.vwempresas","VIEW",17,"Media"
"ns.vwenderecos","VIEW",19,"Media"
"ns.vwenderecosclienteslocal","VIEW",15,"Alta"
"ns.vwestabelecimentos","VIEW",5,"Media"
"ns.vwferiados","VIEW",8,"Baixa"
"ns.vwfollowups","VIEW",14,"Media"
"ns.vwfollowupsclientes","VIEW",15,"Alta"
"ns.vwfollowupsfornecedores","VIEW",13,"Media"
"ns.vwfollowupsvisualizacaoclientes","VIEW",16,"Media"
"ns.vwnegociosfollowups","VIEW",12,"Media"
"ns.vwpessoas","VIEW",203,"Alta"
"ns.vwrepresentantescomerciais_atendimento","VIEW",4,"Media"
"ns.vwrepresentantestecnicos_atendimento","VIEW",4,"Media"
"ns.vwtecnicos","VIEW",151,"Media"
"ns.vwvendedores_atendimento","VIEW",4,"Media"
"nsview.private_vw_colunas","VIEW",8,"Alta"
"nsview.vw_centro_de_custo_financeiro","VIEW",7,"Media"
"nsview.vw_classificacao_financeira","VIEW",7,"Media"
"nsview.vw_clientes","VIEW",18,"Alta"
"nsview.vw_clientes_proximos_contatos","VIEW",24,"Alta"
"nsview.vw_faturamento_nfse","VIEW",31,"Alta"
"nsview.vw_faturamento_nfse_servicos","VIEW",45,"Alta"
"nsview.vw_followups","VIEW",16,"Alta"
"nsview.vw_gestao_taxa_ocupacao","VIEW",28,"Alta"
"nsview.vw_grupo_empresarial","VIEW",3,"Baixa"
"nsview.vw_movimentacao_centro_de_custo","VIEW",23,"Alta"
"nsview.vw_movimentacao_conta_contabil","VIEW",22,"Alta"
"nsview.vw_notas_de_servicos","VIEW",13,"Alta"
"nsview.vw_projeto","VIEW",7,"Media"
"nsview.vw_propostas","VIEW",27,"Media"
"nsview.vw_propostas_itens","VIEW",33,"Media"
"nsview.vw_rps","VIEW",16,"Alta"
"nsview.vw_servicos_prestados","VIEW",18,"Alta"
"nsview.vw_titulos_a_pagar","VIEW",62,"Alta"
"nsview.vw_titulos_a_pagar_com_impostos","VIEW",62,"Media"
"nsview.vw_titulos_a_pagar_rateio_sem_baixas","VIEW",60,"Alta"
"nsview.vw_titulos_a_pagar_sem_baixas","VIEW",60,"Alta"
"nsview.vw_titulos_a_receber","VIEW",63,"Media"
"nsview.vw_titulos_a_receber_com_impostos","VIEW",63,"Media"
"pcp.vw_custos","VIEW",19,"Media"
"pcp.vw_custosvalores","VIEW",13,"Media"
"pdv.vwvendedores","VIEW",5,"Alta"
"pedidos.vw_clientes","VIEW",10,"Alta"
"pedidos.vw_estabelecimentos","VIEW",22,"Media"
"pedidos.vw_formaspagamentos","VIEW",5,"Media"
"pedidos.vw_gruposempresariais","VIEW",4,"Baixa"
"pedidos.vw_metas","VIEW",10,"Media"
"pedidos.vw_objecoes","VIEW",9,"Media"
"pedidos.vw_operacoes","VIEW",11,"Alta"
"pedidos.vw_operacoes_v2","VIEW",11,"Alta"
"pedidos.vw_parcelamentos","VIEW",9,"Alta"
"pedidos.vw_pedidos","VIEW",55,"Alta"
"pedidos.vw_pedidos_itens","VIEW",34,"Media"
"pedidos.vw_pedidos_v2","VIEW",37,"Alta"
"pedidos.vw_produtos","VIEW",30,"Media"
"pedidos.vw_tabelasdeprecos","VIEW",11,"Alta"
"pedidos.vw_tabelasdeprecos_v2","VIEW",13,"Alta"
"persona.vw_solicitacoespersonacliente","VIEW",16,"Alta"
"persona.vwcolaboradores","VIEW",16,"Alta"
"persona.vwhistoricostrabalhadores","VIEW",3,"Media"
"ponto.vwmarcacoes","VIEW",8,"Baixa"
"ponto.vwmarcacoes_ativas","VIEW",8,"Media"
"portalfuncionario.vwcolaboradores","VIEW",27,"Alta"
"portalfuncionario.vwcolaboradores_v2","VIEW",29,"Alta"
"portalfuncionario.vwnoticias","VIEW",15,"Alta"
"servicos.vw_boletimmedicaoitens","VIEW",20,"Media"
"servicos.vw_operacoesordensservicosativas","VIEW",8,"Media"
"servicos.vw_servicoscatalogo","VIEW",6,"Baixa"
"servicos.vwatendimentos","VIEW",37,"Media"
"servicos.vwatendimentos_cliente","VIEW",20,"Media"
"servicos.vwativos_atendimento","VIEW",20,"Alta"
"servicos.vwativos_atendimento_teste","VIEW",19,"Alta"
"servicos.vwativos_atendimento_v2","VIEW",21,"Alta"
"servicos.vwcentroscustos","VIEW",11,"Media"
"servicos.vwchamados_atendimento","VIEW",31,"Baixa"
"servicos.vwclientes","VIEW",14,"Media"
"servicos.vwemissaopedido","VIEW",25,"Media"
"servicos.vwequipestecnicos","VIEW",7,"Media"
"servicos.vwestabelecimentos","VIEW",5,"Media"
"servicos.vwestoqueitens","VIEW",5,"Media"
"servicos.vwordensservicos","VIEW",41,"Media"
"servicos.vwordensservicosanexos","VIEW",13,"Media"
"servicos.vwordensservicoslote","VIEW",19,"Media"
"servicos.vwordensservicosvisita","VIEW",78,"Media"
"servicos.vwordensservicosvisita_v2","VIEW",87,"Media"
"servicos.vwordensservicosvisita_v3","VIEW",88,"Media"
"servicos.vwordensservicosvisita_v4","VIEW",90,"Media"
"servicos.vwordensservicosvisita_v5","VIEW",94,"Media"
"servicos.vwordensservicosvisita_v6","VIEW",95,"Media"
"servicos.vwpessoasenderecos","VIEW",13,"Baixa"
"servicos.vwpessoasmunicipios","VIEW",5,"Media"
"servicos.vwpessoasmunicipios_v2","VIEW",6,"Media"
"servicos.vwprojetos","VIEW",10,"Media"
